review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
9.0,6,1.5,2.0,3.0,moderate,4236723,0.0,20.0,House,Entire home/apt,195.0,Adams
,4,1.0,1.0,1.0,flexible,7843837,0.0,0.0,Apartment,Entire home/apt,149.0,Adams
9.0,5,3.0,2.0,2.0,strict,3076065,1.0,0.0,House,Entire home/apt,224.0,Adams
9.0,3,1.0,2.0,2.0,strict,6423204,0.0,10.0,House,Entire home/apt,115.0,Adams
10.0,2,1.0,1.0,1.0,flexible,8338849,0.0,0.0,House,Private room,55.0,Adams
10.0,8,2.5,4.0,5.0,strict,6401209,1.0,0.0,House,Entire home/apt,338.0,Adams
10.0,2,1.0,1.0,1.0,moderate,20928,1.0,0.0,House,Entire home/apt,79.0,Adams
10.0,2,1.0,1.0,1.0,moderate,3344977,1.0,0.0,House,Private room,80.0,Adams
9.0,2,1.0,0.0,1.0,moderate,7604621,0.0,0.0,Townhouse,Entire home/apt,85.0,Adams
10.0,2,1.0,1.0,1.0,moderate,3303978,1.0,20.0,House,Entire home/apt,80.0,Adams
9.0,3,1.0,1.0,1.0,moderate,7067082,1.0,0.0,Loft,Private room,49.0,Adams
9.0,4,2.5,3.0,2.0,moderate,3121829,0.0,0.0,House,Entire home/apt,100.0,Adams
10.0,2,1.0,1.0,1.0,flexible,2539881,0.0,0.0,Apartment,Entire home/apt,79.0,Adams
10.0,2,1.0,0.0,1.0,moderate,3678718,1.0,20.0,Apartment,Entire home/apt,75.0,Adams
10.0,2,1.0,1.0,1.0,moderate,4694479,1.0,0.0,House,Private room,57.0,Adams
9.0,4,1.0,1.0,2.0,moderate,6646843,0.0,10.0,Apartment,Entire home/apt,99.0,West Woodland
10.0,1,1.0,1.0,1.0,moderate,1364440,0.0,0.0,Apartment,Private room,55.0,West Woodland
9.0,2,1.0,1.0,1.0,strict,1781873,0.0,20.0,Apartment,Entire home/apt,96.0,West Woodland
9.0,4,1.0,1.0,1.0,moderate,4138423,0.0,10.0,House,Entire home/apt,99.0,West Woodland
9.0,4,1.0,2.0,2.0,strict,5562674,0.0,0.0,House,Entire home/apt,79.0,West Woodland
10.0,2,1.0,1.0,1.0,strict,1789341,0.0,100.0,House,Entire home/apt,115.0,West Woodland
10.0,10,2.5,3.0,5.0,strict,4672934,1.0,25.0,House,Entire home/apt,350.0,West Woodland
8.0,6,3.0,3.0,3.0,strict,4550099,0.0,50.0,House,Entire home/apt,295.0,West Woodland
10.0,2,1.5,1.0,1.0,moderate,1198799,1.0,0.0,House,Private room,70.0,West Woodland
10.0,2,1.0,1.0,1.0,flexible,5308429,1.0,0.0,House,Private room,53.0,West Woodland
7.0,4,1.0,2.0,2.0,flexible,2769088,0.0,0.0,House,Entire home/apt,110.0,West Woodland
10.0,4,1.0,2.0,2.0,flexible,7603135,0.0,0.0,House,Entire home/apt,225.0,West Woodland
10.0,2,1.5,1.0,1.0,strict,9374365,0.0,10.0,House,Private room,35.0,West Woodland
10.0,2,1.0,1.0,1.0,moderate,6106498,0.0,10.0,House,Private room,55.0,West Woodland
9.0,2,1.5,1.0,1.0,strict,9331449,0.0,10.0,Townhouse,Private room,45.0,West Woodland
,2,1.0,1.0,1.0,flexible,8799162,0.0,0.0,House,Private room,79.0,West Woodland
9.0,8,1.0,2.0,6.0,moderate,4317390,0.0,15.0,House,Entire home/apt,133.0,West Woodland
10.0,2,1.0,1.0,1.0,moderate,3884851,1.0,0.0,Apartment,Private room,65.0,West Woodland
9.0,1,2.0,1.0,1.0,moderate,3155785,0.0,0.0,Apartment,Private room,61.0,West Woodland
,4,2.0,3.0,3.0,flexible,9368517,0.0,0.0,House,Entire home/apt,200.0,West Woodland
10.0,2,1.0,1.0,1.0,moderate,5643240,0.0,0.0,Apartment,Entire home/apt,70.0,West Woodland
10.0,1,1.0,1.0,1.0,moderate,5042014,0.0,0.0,House,Private room,52.0,West Woodland
8.0,2,1.0,1.0,1.0,flexible,7724630,0.0,15.0,Apartment,Private room,50.0,West Woodland
,8,2.5,4.0,4.0,strict,9449437,0.0,10.0,Townhouse,Entire home/apt,275.0,West Woodland
10.0,2,1.0,1.0,1.0,strict,3053237,1.0,0.0,House,Entire home/apt,149.0,West Woodland
,8,2.0,2.0,4.0,flexible,8132347,0.0,10.0,House,Entire home/apt,199.0,West Woodland
10.0,2,1.0,1.0,1.0,moderate,63733,0.0,0.0,Apartment,Entire home/apt,89.0,West Woodland
9.0,10,2.0,3.0,3.0,strict,2039149,0.0,40.0,House,Entire home/apt,225.0,West Woodland
10.0,3,1.0,1.0,2.0,strict,227636,1.0,10.0,Apartment,Entire home/apt,120.0,West Woodland
10.0,2,1.0,0.0,1.0,flexible,3689119,1.0,0.0,House,Entire home/apt,85.0,West Woodland
8.0,4,1.5,1.0,2.0,strict,1179538,0.0,10.0,House,Private room,80.0,West Woodland
10.0,3,1.0,1.0,3.0,strict,6823781,0.0,10.0,House,Entire home/apt,89.0,West Woodland
9.0,4,1.0,1.0,1.0,moderate,2284536,0.0,10.0,House,Entire home/apt,99.0,West Woodland
10.0,4,1.0,1.0,3.0,flexible,5143441,1.0,25.0,Apartment,Entire home/apt,110.0,West Woodland
10.0,6,1.0,2.0,3.0,moderate,5749958,0.0,30.0,House,Entire home/apt,180.0,West Woodland
,4,1.0,2.0,2.0,flexible,9116815,0.0,0.0,Apartment,Entire home/apt,150.0,West Woodland
9.0,4,1.0,1.0,2.0,flexible,7731836,0.0,0.0,Apartment,Entire home/apt,70.0,West Woodland
,2,1.0,1.0,1.0,flexible,10262971,0.0,0.0,House,Private room,70.0,West Woodland
